Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,"OpenOutFile",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,1,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,0,4,1,1,0,4,3,2,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Function,"OpenOutFiled",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,1,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Function,"PrintBSDLicense",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,19,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,19,7,1,4,0,0,0,1,1,0,2,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Function,"PrintLicense",/home/cert/metrics/dos2unix/dos2unix-7.2.2/dos2unix.c,,,,4,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,4,6,1,3,0,0,0,2,1,0,2,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Function,"PrintLicense",/home/cert/metrics/dos2unix/dos2unix-7.2.2/unix2dos.c,,,,2,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,2,6,1,3,0,0,0,2,1,0,2,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Function,"PrintUsage",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,1,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,68,1,41,1,38,0,12,16,2,4,1,30,32,0,0,32,3,3,3,1,2,,,,,0,,1,0,,0.00,,,,
Function,"PrintVersion",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,0,67,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,67,0,8,1,5,2,27,36,1,1,0,5,5,0,0,5,1,1,1,1,0,,,,,0,,0,0,,0.25,,,,
Function,"ResolveSymbolicLink",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,1,69,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,74,0,6,2,3,2,65,6,2,1,0,3,3,1,0,2,1,1,1,1,0,,,,,0,,0,0,,0.33,,,,
Function,"SetPrivilege",/home/cert/metrics/dos2unix-7.2.2/sandbox/chown/chown.c,,,,3,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,3,13,4,7,1,0,0,8,4,1,10,13,3,0,10,4,4,4,3,3,,,,,2,,1,2,,0.08,,,,
Function,"StripDelimiter",/home/cert/metrics/dos2unix/dos2unix-7.2.2/dos2unix.c,,,,0,36,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,39,0,36,2,23,7,0,0,7,10,1,13,22,1,0,21,10,10,10,10,16,,,,,16,,4,16,,0.19,,,,
Function,"__USING_NAMESPACE_STD",,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0.00,,,,
Function,"check_unicode",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,6,49,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,60,3,16,1,11,4,31,10,6,9,1,7,12,0,0,12,6,6,9,5,4,,,,,4,,2,4,,0.25,,,,
Function,"check_unicode_info",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,3,36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,40,1,9,1,5,0,26,6,4,2,0,4,5,0,0,5,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
Function,"d2u_fclose",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,0,16,1,11,0,2,2,6,4,1,7,10,0,0,10,4,4,4,1,2,,,,,0,,3,0,,0.00,,,,
Function,"d2u_getc_error",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,,,,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,0,9,2,5,0,0,0,4,2,0,4,5,1,0,4,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
