timer                                            ms      calls
MISMATCHED_ITERATOR                               0          1
MIXED_ENUMS                                       0          1
INTERVAL_OVERRUN                                  0          2
OVERRUN                                           0          1
OVERFLOW_BEFORE_WIDEN                             0          1
VIRTUAL_DTOR                                      0        734
SECURE_CODING                                     0          1
STACK_USE                                         0          2
OVERRUN_SYMBOLIC                                  0          1
LOCK_ALIAS                                        0          1
concurrency_DERIVERS                              0          1
generic_DERIVERS                                  0          1
ptr_arith_DERIVERS                                0          1
security_DERIVERS                                 0          1
stack_use_DERIVERS                                0          1
uninit_DERIVERS                                   0          1
exceptions_DERIVERS                               0          1
sequential initialization                        83          2
Looking for translation units                     2          1
Computing links for translation units            27          1
xfer symbol cache                                 2          1
Computing virtual overrides                       2          1
Computing callgraph                              11          1
Topologically sorting functions                  24          1
Computing node costs                             59          1
Analysis run                                 372732          1
loadFromEmit                                   9425       2929
types/warning pass                               39          1
